model_family,model_version,date,mode,top_k,long_symbols,long_realized_return,short_symbols,short_realized_return,gross_period_return,turnover,transaction_cost,period_return_after_cost,benchmark_equal_weight_return,equity,benchmark_equity,drawdown
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-01-02,long-only,5,"BMP,STB,KSB,NVL,SAM",-0.02673968368960138,,,-0.026739683689601383,1.0,0.0015,-0.028239683689601384,-0.02603348284096313,9717603.163103987,9739665.171590367,-0.02823968368960139
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-01-09,long-only,5,"APG,STB,VCG,KSB,BCM",0.02821144623433025,,,0.028211446234330258,1.2,0.0018,0.026411446234330258,0.0010052544878392327,9974259.116572866,9749456.013714159,-0.002574088342713332
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-01-16,long-only,5,"APG,005930.KS,AAPL,2317.TW,NT2",-0.020948881173212853,,,-0.020948881173212856,1.5999999999999999,0.0024,-0.023348881173212856,0.014265712231911039,9741371.325669171,9888538.947623478,-0.02586286743308286
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-01-23,long-only,5,"APG,PAN,LPB,SSB,SGT",0.0704476431965539,,,0.0704476431965539,1.5999999999999999,0.0024,0.0680476431965539,0.017560047288604556,10404248.68588345,10062182.159158954,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-01-30,long-only,5,"QCOM,TSM,MSFT,GOOGL,AMD",-0.024247022562997222,,,-0.024247022562997225,1.9999999999999998,0.0029999999999999996,-0.027247022562997224,-0.01734773242874256,10120763.887188148,9887626.115412598,-0.02724702256299738
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-02-06,long-only,5,"2317.TW,GEX,SSB,LPB,FRT",0.02808909014039136,,,0.028089090140391362,1.9999999999999998,0.0029999999999999996,0.025089090140391363,0.005645294188771711,10374684.644643428,9943444.673662685,-0.0028415354277463445
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-02-13,long-only,5,"2317.TW,NVL,OCB,CII,CTD",0.041130170578674366,,,0.041130170578674366,1.5999999999999999,0.0024,0.03873017057867437,0.01892866751954593,10776497.950630423,10131660.831889445,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-02-20,long-only,5,"CTD,LPB,GEX,GEG,NT2",0.010848023027660813,,,0.010848023027660815,1.5999999999999999,0.0024,0.008448023027660815,0.005058689906255536,10867538.053474888,10182913.762273328,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-02-27,long-only,5,"NVDA,TSM,2317.TW,INTC,005930.KS",-0.053537513525820236,,,-0.05353751352582023,1.9999999999999998,0.0029999999999999996,-0.05653751352582023,0.004921329033251086,10253114.473784186,10233027.231414696,-0.05653751352582015
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-03-06,long-only,5,"PHR,NVDA,SAM,VHM,BCM",0.034283986688237865,,,0.03428398668823787,1.5999999999999999,0.0024,0.03188398668823787,-0.00888270796946106,10580024.6391793,10142130.238874497,-0.026456168166225646
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-03-13,long-only,5,"AAPL,INTC,FTS,BSI,REE",0.0011094381578243607,,,0.0011094381578243603,1.9999999999999998,0.0029999999999999996,-0.0018905618421756394,0.00507012132976451,10560022.44830719,10193552.069727864,-0.028296712986376038
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-03-20,long-only,5,"VIC,INTC,VHM,NVDA,BSI",0.026772715346090315,,,0.026772715346090315,1.2,0.0018,0.024972715346090316,-0.0054857153990389785,10823734.88295709,10137633.144168053,-0.0040306433989244494
